paper_id,filename,theme
1,navigating-through-renewed-economic-uncertainty_3.pdf,Populism and Extremism
1,navigating-through-renewed-economic-uncertainty_3.pdf,Climate and Environment
1,navigating-through-renewed-economic-uncertainty_3.pdf,"Education, Research and Youth"
1,navigating-through-renewed-economic-uncertainty_3.pdf,Social Protection and Housing
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,EU Enlargement
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,Middle East and North Africa
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,Russia and Ukraine
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,South Caucasus and Central Asia
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,Defence and Military
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,Transatlantic Relations
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,China
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,Middle East and North Africa
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,Russia and Ukraine
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,Trade
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,Transatlantic Relations
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,Russia and Ukraine
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,Climate and Environment
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,Migration
6,activity-report-2023__Activity-Report-2023.pdf,China
6,activity-report-2023__Activity-Report-2023.pdf,Russia and Ukraine
6,activity-report-2023__Activity-Report-2023.pdf,Climate and Environment
6,activity-report-2023__Activity-Report-2023.pdf,Industrial and Economic Policy
6,activity-report-2023__Activity-Report-2023.pdf,Defence and Military
6,activity-report-2023__Activity-Report-2023.pdf,Transatlantic Relations
7,immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf,Populism and Extremism
7,immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf,Labour Market
7,immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf,Migration
7,immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf,Social Protection and Housing
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf,China
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf,AI and Technology
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf,Climate and Environment
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf,"Education, Research and Youth"
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf,Industrial and Economic Policy
9,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_3.pdf,Russia and Ukraine
9,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_3.pdf,Defence and Military
9,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_3.pdf,Transatlantic Relations
10,the-7ds-demography-in-depth__Demography.pdf,Climate and Environment
10,the-7ds-demography-in-depth__Demography.pdf,"Education, Research and Youth"
10,the-7ds-demography-in-depth__Demography.pdf,Demographics
10,the-7ds-demography-in-depth__Demography.pdf,Labour Market
10,the-7ds-demography-in-depth__Demography.pdf,Social Protection and Housing
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,European Identity and Values
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,Populism and Extremism
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,China
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,Climate and Environment
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,Transatlantic Relations
12,the-future-of-transatlantic-relations_echikson-2025-trump-tech-and-transatlantic-turbulence.pdf,China
12,the-future-of-transatlantic-relations_echikson-2025-trump-tech-and-transatlantic-turbulence.pdf,Industrial and Economic Policy
12,the-future-of-transatlantic-relations_echikson-2025-trump-tech-and-transatlantic-turbulence.pdf,Transatlantic Relations
13,the-state-of-the-european-union-a-need-for-unity-and-solidarity__The-State-of-the-European-Union-A-Need-for-Unity-and-Solidarity.pdf,Populism and Extremism
13,the-state-of-the-european-union-a-need-for-unity-and-solidarity__The-State-of-the-European-Union-A-Need-for-Unity-and-Solidarity.pdf,Western Balkans
13,the-state-of-the-european-union-a-need-for-unity-and-solidarity__The-State-of-the-European-Union-A-Need-for-Unity-and-Solidarity.pdf,"Education, Research and Youth"
