theme,paper_count
Transatlantic Relations,73
Populism and Extremism,60
Climate and Environment,60
Industrial and Economic Policy,56
Russia and Ukraine,53
China,46
Social Protection and Housing,39
Defence and Military,32
"Education, Research and Youth",29
European Identity and Values,27
EU Enlargement,25
Trade,24
Asia and Indo-Pacific,23
South Caucasus and Central Asia,23
Labour Market,17
Infrastructure and Transport,15
Western Balkans,14
Migration,12
Middle East and North Africa,11
Demographics,10
Baltic Region,10
Elections and Parties,8
Energy,8
AI and Technology,6
Disinformation and Cybersecurity,3
Financial Stability,3
Nordic Region,2
Latin America and the Caribbean,1
