filename,Top 20 Words
navigating-through-renewed-economic-uncertainty_3.pdf,"young (39), epp (36), youth (19), elections (17), economic (16), living (15), parliament (15), social (15), voters (13), citizens (12), younger (11), eurobarometer (11), ukraine (10), cost (9), pereira (9), party (8), inflation (8), commission (8), support (7), strategy (7)"
the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,"war (102), ukraine (72), russia (56), defence (53), military (49), security (47), nato (45), china (23), strategic (23), russian (20), foreign (20), international (18), relations (17), peace (17), york (16), invasion (15), germany (15), power (14), council (14), giusti (14)"
the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,"trump (49), defence (38), administration (29), ukraine (18), transatlantic (17), tariffs (15), relations (13), russia (13), security (12), global (11), american (11), president (10), peace (10), washington (9), nato (9), china (8), allies (8), cooperation (8), ciolan (7), moyer (7)"
why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,"climate (49), migration (23), refugee (23), convention (18), international (15), legal (10), protection (9), refugees (8), global (8), asylum (8), definition (6), induced (6), persecution (6), teitiota (6), zealand (6), hrc (6), human (5), regime (5), scenarios (5), nationality (5)"
coming-out-of-the-shadows-the-european-stability-mechanism-and-euro-area-governance__Martens-Centre-Policy-Brief-1.pdf,"esm (173), economic (74), reform (65), financial (58), debt (56), ngeu (46), crisis (39), pccl (36), support (30), loan (27), sovereign (24), fiscal (24), instrument (23), conditionality (23), sound (21), stability (20), precautionary (20), spending (18), assistance (18), loans (17)"
activity-report-2023__Activity-Report-2023.pdf,"senior (36), brussels (35), event (31), ukraine (27), officer (27), epp (24), security (24), president (24), kas (22), foundation (21), russia (20), economic (19), war (17), cooperation (16), social (15), media (15), council (15), info (15), edited (15), peter (15)"
immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf,"asylum (167), migration (141), residence (139), permits (139), family (109), labour (107), citizenship (107), citizens (100), data (100), protection (86), issued (85), migrants (84), non (84), employment (70), statistics (65), nationals (64), seekers (60), immigration (58), permit (56), temporary (56)"
the-7ds-digitalisation-in-depth__Digitalisation.pdf,"digital (52), market (26), global (26), digitalisation (25), sustainability (24), international (19), technology (18), innovation (18), cybersecurity (16), infrastructure (15), data (15), security (14), companies (13), technological (12), technologies (11), development (11), investment (11), expand (10), businesses (10), enhancing (9)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_3.pdf,"defence (29), air (23), military (20), land (18), nato (17), war (16), ukraine (14), tactical (11), benhamou (10), east (9), operations (8), tactics (6), council (6), battle (6), french (6), editions (6), budgetary (6), edf (6), paris (6), michael (5)"
the-7ds-demography-in-depth__Demography.pdf,"women (42), labour (36), demography (27), care (25), education (24), sustainability (23), school (19), men (18), young (17), population (17), market (16), health (16), family (15), training (14), skills (14), demographic (14), educational (13), migrants (12), ageing (12), digital (12)"
sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf,"epp (16), party (14), sustainability (14), christian (13), integration (11), welle (9), social (9), liberal (9), conservative (9), democracy (7), nationalist (7), dividing (5), market (5), secretary (5), parliament (5), democrat (5), protect (5), generations (5), extreme (4), continent (4)"
the-future-of-transatlantic-relations_echikson-2025-trump-tech-and-transatlantic-turbulence.pdf,"tech (52), trump (45), digital (37), commission (32), companies (20), china (18), silicon (17), valley (17), transatlantic (16), google (16), apple (16), dsa (12), meta (12), echikson (11), brussels (11), musk (11), speech (10), tariffs (10), market (10), markets (10)"
the-state-of-the-european-union-a-need-for-unity-and-solidarity__The-State-of-the-European-Union-A-Need-for-Unity-and-Solidarity.pdf,"digital (429), media (370), education (334), financial (308), commission (292), national (240), data (239), council (226), bulgaria (214), economic (209), development (193), radio (190), western (187), services (181), social (180), disinformation (171), balkans (164), integration (163), ukraine (154), security (153)"
