word,count
economic,4992
security,4049
defence,3828
commission,3826
parties,3577
ukraine,3545
national,3436
china,3305
energy,3097
social,3013
party,2899
market,2816
global,2752
council,2457
international,2440
support,2342
digital,2333
war,2330
parliament,2323
russia,2307
nato,2171
sustainability,2134
financial,2116
development,2106
strategic,2072
foreign,2046
trade,1997
democracy,1975
data,1974
democratic,1950
integration,1867
western,1815
military,1773
climate,1735
crisis,1713
cooperation,1655
government,1635
media,1618
economy,1600
citizens,1591
labour,1528
values,1528
power,1513
russian,1508
nuclear,1496
law,1483
migration,1472
politics,1427
enlargement,1413
non,1388
investment,1387
university,1387
relations,1371
brussels,1362
education,1354
strategy,1346
christian,1343
population,1316
chinese,1298
elections,1293
germany,1290
supply,1272
society,1241
technology,1207
president,1179
companies,1177
rights,1167
resilience,1148
green,1120
epp,1098
inflation,1094
women,1090
protection,1075
industrial,1063
com,1061
higher,1045
innovation,1033
debt,1003
german,994
technologies,972
legal,945
young,936
services,920
regulation,916
france,907
decision,898
human,897
infrastructure,897
eastern,896
governance,893
funding,874
resources,868
production,844
sustainable,844
geopolitical,833
accession,832
stability,799
disinformation,799
balkans,788
industry,768
price,763
news,721
bank,715
online,715
italy,705
reform,700
markets,698
budget,696
risks,695
rates,688
business,687
environment,684
finland,682
bulgaria,673
liberal,671
membership,669
cultural,665
reforms,659
gas,653
trump,650
gender,636
conservative,635
candidate,632
election,629
technological,626
migrants,626
monetary,625
private,621
fiscal,618
french,617
health,614
identity,611
freedom,603
food,601
capital,601
demographic,599
rule,599
skills,599
transatlantic,595
rural,595
prices,593
housing,590
tech,590
financing,590
belgium,589
home,587
employment,587
populist,583
traditional,582
poland,581
family,576
management,574
societies,563
competition,563
civil,562
gdp,559
regulatory,559
american,554
rise,548
ensuring,548
come,548
importance,548
border,548
costs,547
peace,547
west,544
commons,543
competitiveness,543
immigration,537
capabilities,535
workers,533
london,531
east,529
spending,524
mobility,521
north,511
pandemic,509
permits,508
culture,507
foundation,506
platforms,505
investments,505
directive,505
partnership,504
fund,503
finance,503
training,502
netherlands,501
trust,500
organisations,496
science,495
electoral,494
transformation,494
rate,486
men,484
alliance,481
recovery,481
decline,478
nature,477
covid,475
leaders,474
minister,473
youth,470
crises,469
domestic,467
radical,466
sovereignty,466
money,461
putin,460
legislation,460
natural,458
solutions,457
conflict,457
decarbonisation,453
ukrainian,450
priorities,445
chains,445
developing,441
sweden,438
activities,436
subsidiarity,436
washington,434
voters,433
income,433
court,431
republic,429
independent,428
platform,428
berlin,427
ecb,427
spain,423
hungary,423
living,422
senior,422
legislative,422
historical,420
intelligence,420
movement,420
federal,419
clean,418
weapons,415
ageing,414
annual,414
campaign,414
comprehensive,413
water,410
invasion,408
regulations,407
autonomy,404
carbon,404
academic,403
strategies,402
school,401
south,401
negotiations,401
environmental,397
oecd,397
digitalisation,395
deterrence,393
benefits,390
coalition,389
gap,388
events,388
operations,386
network,386
farmers,386
ireland,385
continent,384
austria,384
taiwan,383
executive,381
cost,380
aims,380
emissions,378
sanctions,377
mechanisms,377
justice,376
equality,375
tools,375
religious,373
decade,370
welle,370
agreements,367
generation,366
czechia,366
modern,365
czech,365
supporting,363
care,362
experience,361
economics,361
programmes,360
secure,360
networks,360
engagement,358
section,358
individuals,358
asia,357
paris,357
protect,357
proposal,357
greece,357
promoting,356
romania,356
japan,356
societal,355
reality,354
structure,353
knowledge,353
establishing,352
capability,349
europa,348
opposition,348
pressure,347
created,347
enhancing,347
economies,346
authorities,346
oxford,344
powers,343
regime,341
house,340
transparency,340
america,340
ideological,338
shift,338
success,338
balkan,336
transport,335
industries,335
trend,334
hefele,334
cybersecurity,334
partner,333
collective,332
practices,332
products,332
children,332
vision,330
active,330
tax,329
center,329
organisation,329
policymakers,329
older,328
ideas,327
goal,327
diplomacy,327
croatia,327
administration,325
asylum,324
structural,324
demography,324
british,324
nations,323
planning,323
reducing,323
oil,322
radio,321
goods,320
aspects,320
published,319
official,319
foundations,319
advanced,318
democrats,317
alternative,315
statistics,315
citizenship,314
emerging,313
brexit,313
italian,313
abstract,312
aggression,312
questions,312
requirements,312
speech,311
yepp,311
jobs,310
list,310
mainstream,307
york,306
politicians,305
deterrent,305
driven,304
hard,304
landscape,303
instruments,303
bulgarian,303
journals,302
voting,302
primary,302
businesses,302
permission,301
younger,301
assistance,301
lithuania,301
educational,300
director,299
generations,298
facing,298
consumer,298
reduction,298
equipment,298
cohesion,298
sharing,297
elements,297
equal,295
invest,294
offer,294
aid,293
evs,293
mentioned,292
exchange,292
constitutional,292
path,291
avoid,291
cyber,291
mainly,290
mean,290
populism,290
export,289
proposed,288
professor,288
dialogue,288
serbia,288
stable,287
congress,286
conservatism,286
independence,286
narrative,286
risking,286
email,285
subject,285
refugees,285
deepening,284
imports,283
solidarity,283
monitoring,283
stage,282
vote,282
effectively,282
ties,282
resilient,282
board,282
corruption,282
globalisation,281
respect,281
relatively,281
establishment,281
smes,281
atlantic,280
previous,279
rapid,279
implemented,279
albania,279
bring,278
prevent,278
communities,278
qualified,278
chain,277
directly,277
true,277
nation,277
meeting,276
immigrants,276
subsidies,276
stronger,276
reproduction,275
chapter,275
summit,275
artificial,275
functioning,275
air,275
shown,274
residence,274
association,273
maintain,273
minerals,273
authoritarian,273
forum,272
presented,272
allies,272
matter,271
borders,271
benefit,271
want,270
contrast,270
application,270
ratio,270
company,270
attribution,269
documents,269
migrant,269
dynamics,269
partnerships,269
captagon,269
communications,267
usually,266
africa,266
temporary,266
socio,266
democracies,266
ministry,266
fdi,266
increases,265
offers,265
procedures,265
reach,264
points,264
banks,264
ambitious,263
caused,263
canada,263
presence,263
associated,263
ones,263
competitive,263
impacts,262
coming,261
efficiency,261
manufacturing,261
aged,261
internet,261
objective,260
big,260
scope,260
structures,260
forms,260
integrated,259
implementing,259
cambridge,259
target,259
esm,259
technical,259
administrative,259
away,258
thinking,258
conclusions,258
plans,258
zero,258
presidency,257
tank,257
renewable,257
design,257
known,256
say,256
theory,255
scenarios,255
discrimination,255
followed,254
slovakia,254
leader,253
parts,253
supported,253
targeted,253
luxembourg,253
understand,252
consensus,252
continued,252
purpose,252
statement,252
bilateral,252
generally,252
experts,251
works,251
fair,251
job,250
denmark,250
range,250
debates,250
direction,250
concern,250
expand,250
percentage,248
commerce,248
effectiveness,248
standard,248
highest,247
quite,247
convergence,247
officer,247
series,247
consumption,247
instrument,246
tanks,246
models,246
demands,245
exports,245
representation,245
text,245
achieving,244
macron,244
vital,244
ongoing,243
limits,243
responsible,243
improving,243
additionally,243
effort,242
transfer,242
leave,242
fight,241
welfare,241
enforcement,241
land,241
starting,241
concrete,240
expressed,240
prospects,240
ahead,240
smaller,240
priority,240
contribution,239
pacific,239
run,239
started,239
bodies,239
innovative,238
moment,238
late,238
favour,238
size,238
contemporary,238
expectations,237
authority,237
factor,236
agreed,236
came,235
primarily,235
introduced,235
enable,235
conservatives,234
light,234
attacks,234
eurozone,234
biography,233
involved,233
compliance,233
transnational,233
performance,232
beijing,232
moldova,232
lessons,232
included,232
communist,232
collaboration,231
lies,231
extreme,231
fields,231
screening,231
options,231
material,231
sufficient,230
fall,230
solution,230
movements,230
efficient,229
tensions,229
era,229
substantial,229
faced,228
indicators,228
neighbourhood,228
quickly,228
steps,228
brought,227
engage,227
turkey,227
wider,227
procurement,227
encourage,227
received,226
serve,226
mining,226
agricultural,226
resource,226
concerning,225
worked,225
counter,225
minded,225
numbers,224
dedicated,224
larger,224
unity,224
skilled,224
affected,223
subsequent,223
attitudes,223
incentives,223
protecting,222
suggests,222
universities,222
art,222
believe,222
peter,222
multiple,222
agree,221
pay,221
targets,221
politically,220
vis,220
white,220
electricity,220
degree,220
treaties,220
discussions,219
dimension,218
directorate,218
know,217
scenario,217
ambitions,217
facilitate,217
beginning,217
trading,217
diversity,216
inter,216
simply,216
die,216
und,216
macedonia,216
consumers,216
georgia,215
possibility,215
launched,215
brain,215
productivity,215
promotion,214
permanent,214
tariffs,214
shape,214
lines,213
burden,213
joining,213
expertise,213
outcomes,213
built,213
representative,212
gaps,212
ground,212
setting,212
focusing,212
concepts,212
talent,212
families,211
dependent,211
diverse,211
takes,211
foster,211
learning,211
changed,211
looking,211
proportion,211
identified,210
commissioner,210
tool,210
narratives,210
cause,209
secretary,209
event,209
opinions,209
failure,209
achieved,209
classes,209
legitimacy,209
popular,209
dsa,209
agriculture,209
alignment,208
students,208
follow,208
tend,208
moscow,208
property,208
elected,208
operational,207
inclusion,207
mass,207
head,207
option,207
religiosity,207
cold,206
practical,206
focuses,206
sovereign,206
adopt,206
choice,206
portugal,206
origin,206
staff,205
person,205
currency,205
overview,204
immediate,204
college,204
sea,204
pptts,204
task,203
evidence,203
shortages,203
mission,202
perceived,202
periphery,202
added,202
numerous,202
potentially,201
involvement,201
fellow,201
loss,201
prosperity,200
maintaining,200
expansion,200
religion,200
hydrogen,200
robust,199
took,199
alongside,199
allowed,199
provisions,199
kosovo,199
biden,198
applications,198
affordable,198
allows,198
patterns,198
assess,197
contributed,197
notably,197
widely,197
scientific,197
emigration,197
implement,197
commitments,196
previously,196
defend,196
credibility,196
deficit,196
drain,196
declaration,196
noted,195
expanding,195
live,195
perspectives,195
ultimately,195
understood,195
defense,194
actor,194
civic,194
flexible,194
failed,194
rue,193
identify,193
standing,193
definition,193
dual,193
activity,193
discussed,193
broad,193
english,192
deep,192
topics,192
dependency,192
conflicts,191
dimensions,191
attack,191
limit,191
reuters,191
competences,191
allowing,191
recognition,191
candidates,190
vulnerable,190
apply,190
unemployment,190
lilkov,190
laws,190
applied,189
secondary,189
campaigns,189
program,189
actual,189
cap,189
supplies,188
leyen,188
iran,188
near,188
selected,188
baltic,188
misinformation,188
respond,187
lives,187
fostering,187
shaping,187
barriers,187
improved,187
inclusive,187
reduced,186
specifically,186
deployment,186
claims,186
perception,186
represents,186
actually,186
sofia,186
slovenia,186
catholic,186
coal,185
phenomenon,185
calls,185
kind,184
initial,184
copyright,184
automotive,184
dependence,183
abroad,183
safety,183
investing,183
paid,183
northern,183
granted,183
adoption,183
politick,183
reporting,182
educated,182
examples,182
frameworks,181
ideology,181
accountability,181
road,181
reflect,181
days,181
regimes,181
diplomatic,180
spectrum,180
capable,180
massive,180
opening,180
circumstances,180
type,180
background,180
rapidly,180
designed,180
remained,180
solar,180
closely,180
awareness,180
attract,179
relevance,179
norms,179
resolution,179
sides,179
procedure,179
produce,179
reference,179
adults,179
spole,179
votes,178
deliver,178
representatives,178
civilian,178
expenditure,178
combined,178
politico,178
comparative,178
persons,178
difference,178
ready,178
element,178
wave,177
urban,177
supranational,177
democrat,176
considering,176
coordinated,176
regular,176
investors,176
continues,176
equally,176
highlighted,175
expert,175
latest,175
addressed,175
host,175
qualifications,175
belarus,174
discourse,174
mutual,174
strongly,174
wars,173
eurobarometer,173
spread,173
consistent,173
flows,173
bibliography,173
mandate,173
hold,173
statements,173
holds,172
hope,172
forced,172
checking,172
measure,172
figures,172
recognised,172
managed,171
guidelines,171
ethnic,171
literacy,171
stakeholders,171
darpa,171
insights,170
answer,170
wage,170
dominant,169
ministers,169
behaviour,169
unique,169
define,169
guarantee,168
marked,168
normative,168
conduct,168
topic,168
evolving,167
progressive,167
papers,167
nationalism,167
boost,167
adapt,167
attitude,167
receive,166
attempt,166
experienced,166
website,166
conducted,166
southern,166
assets,166
producers,166
dutch,166
confidence,165
multi,165
contributions,165
announced,165
vladimir,165
appropriate,165
drea,165
processing,165
evolution,165
release,164
compass,164
affect,164
territory,164
reached,164
conditionality,164
parliaments,164
reho,164
issued,164
similarly,164
providers,164
import,164
components,163
outcome,163
fear,163
cover,163
provision,163
card,163
routledge,163
entities,163
users,163
participate,162
represent,162
division,162
going,162
born,162
stay,162
domain,162
globally,162
gain,161
notes,161
difficulties,161
ict,161
offering,160
stand,160
structured,160
race,160
expanded,160
code,160
vehicles,160
journalism,160
farm,160
soon,159
challenging,159
loans,159
outlook,159
cyprus,159
adenauer,159
meaning,159
divided,159
formation,159
funded,159
record,158
organised,158
seek,158
concerned,158
thought,158
exception,158
india,158
package,158
lost,158
sole,158
vice,158
analyses,158
hecke,158
picture,158
latvia,158
gdpr,158
fragmentation,158
phd,158
certainly,157
attempts,157
manage,157
easy,157
causes,157
introduce,157
argues,157
finding,157
cycle,157
divide,157
disruptive,157
malta,156
renewed,156
described,156
slow,156
overcome,156
managing,156
privacy,156
eap,156
red,156
lot,156
publishing,156
ipsos,156
reconstruction,156
types,155
ambition,155
commercial,155
entire,155
convention,155
stated,155
payments,155
neutral,155
bad,155
hybrid,155
centres,155
electric,155
journalists,155
capacities,154
appears,154
says,154
learned,154
nearly,154
fossil,154
minority,154
emergence,154
represented,154
evident,154
agencies,154
leads,154
characteristics,154
updated,154
uncertainty,153
win,153
violence,153
geopolitics,153
securing,153
defining,153
konrad,153
signed,153
leaving,153
visible,153
construction,153
ecosystem,153
percent,153
households,152
poor,152
mid,152
organization,152
minimum,152
norway,152
enterprises,152
mental,152
nominal,152
soviet,151
produced,151
volume,151
bosnia,151
ukrainians,151
circular,151
armed,150
search,150
flexibility,150
began,150
contrary,150
giving,150
launch,150
permit,150
syria,150
competence,150
heart,150
exercise,150
jako,150
combat,149
raise,149
operation,149
prioritise,149
partly,149
nordic,149
latin,149
existence,149
doing,149
literature,149
feel,148
attractive,148
strengthened,148
speed,148
rare,148
facts,148
klaus,148
link,148
friendly,147
command,147
observed,147
seven,147
obstacles,147
credible,147
allocation,147
rest,147
firms,147
citizen,146
professional,146
tional,146
respective,146
prepare,146
advantage,146
situations,146
britain,146
intellectual,146
rome,146
populations,146
estonia,146
successfully,146
methods,146
message,145
pillar,145
relation,145
parallel,145
taxes,145
adequate,145
relative,145
eeas,145
battle,145
polish,145
workforce,144
test,144
responses,144
absolute,144
associate,144
assume,144
roles,144
carried,144
viewed,144
emphasis,144
exist,144
outlined,143
findings,143
revolution,143
consideration,143
function,143
