url,title,date,author,summary,pdf_link
https://www.martenscentre.eu/publication/chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines/,China’s Electric Vehicle Challenge to Europe: Red Flags and Red Lines,08 July 2025,,"Initial trade data suggest that the EU’s tariffs on Chinese electric vehicles (EVs) in 2024 slowed the growth of their share in the single market compared to forecasts. However, it has not blunted the risk Chinese EVs present to European automakers, which was demonstrated by the more than 100,000 job losses announced last year. The US–China trade war will add to these economic woes as European automakers are squeezed out of the Chinese EV market and could lose the US export market. Moreover, Chinese EV producers are opening plants in Spain, Hungary and the European neighbourhood to circumvent tariffs and divert trade. The Lower Saxony region in Germany, for example, cannot afford the loss of taxes from workers, corporate taxes and dividend payments from Volkswagen if it closes plants in the region. Nor can policymakers ignore the data security risks: under China’s National Intelligence Law, Chinese EV producers are legally required to work with the Ministry of State Security, and some European companies are advising their staff not to connect their phones or discuss their work in Chinese EVs. Chinese EVs are built on the basis of one-sided technology transfer. In the limited joint ventures in Europe where member states have increased local requirements, Chinese companies have cancelled projects. Alongside the presence of Communist Party cells in these companies, it is highly unlikely that Chinese EV producers will transfer technology to European automakers. Tariffs alone will not save the sector. Policymakers need to soberly assess the ‘red flags’ that Chinese EVs present and consider practical policy recommendations and ‘red lines’ to protect jobs and data security and create a European alternative. This includes a market share cap for Chinese EVs, the creation of a sovereign cloud storage system, and the creation of joint ventures with Japanese and Korean EV battery manufacturers. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/breaking-free-europes-path-to-greater-financial-autonomy/,Breaking Free: Europe’s Path to Greater Financial Autonomy,30 June 2025,,"The Trump administration’s aggressive use of financial sanctions and threats has laid bare a critical vulnerability: Europe’s economic security is at the mercy of US structural power. This continued exploitation highlights a staggering analytical failure in Europe, where banking and finance are rarely seen as geopolitical domains. In March new US Secretary of the Treasury, Scott Bessent, acknowledged that 40%–50% of his role is national security. By contrast, how many of us can recall the last time a European finance minister discussed the centrality of money in our national security decision-making? Europe’s dependence on US-controlled financial systems demands urgent attention. In the eurozone, ‘banks’ accept demand deposits, offer credit and process payments, unlike credit institutions (credit-only) or payment providers (transactiononly). Large ‘direct participant’ banks access T21 for real-time settlements, while smaller ‘indirect participants’ rely on them, creating access dependencies. These regulated financial activities, deposit-taking being the most stringent of all, shape a system where most institutions outsource banking to cut costs, amplifying reliance on a few gatekeepers with direct access. This structure exacerbates vulnerability to dominance, a leverage the US has wielded for decades in pursuit of political ends. This policy brief analyses how US control over financial choke points undermines Europe’s strategic autonomy. It examines and reveals the frailty of assuming unfettered financial access will always be there. It explores how the US’s reach, coupled with banks’ risk-averse behaviour, restricts Europe’s policy options, threatening economic and national security ambitions. Without robust, indigenous financial alternatives, the continent risks being forced to bend to Trump. Finance continues to be a huge blind spot for economic security, receiving almost no attention from government officials more focused on which goods we buy and sell, but not how we pay for them. Europe must re-examine the status quo to understand the interplay between banks and non-banks. To counter this vulnerability, Europe must pursue strategic financial autonomy, defined as the condition whereby European actors can operate free from foreign coercion and sovereign entities can reliably implement policy through financial channels without external interference, a goal this brief advances through targeted recommendations. These include building a more resilient financial ecosystem, promoting euro-denominated liquidity and mitigating extraterritorial legal risks to ensure Europe’s policies are not subject to external vetoes or negation. ENJOYING THIS CONTENT?",
https://www.martenscentre.eu/publication/securing-europes-critical-minerals-leveraging-the-eu-ukraine-partnership-amidst-us-competition/,Securing Europe’s Critical Minerals: Leveraging the EU-Ukraine Partnership Amidst US Competition,13 June 2025,,"The EU has a unique opportunity to bolster its strategic autonomy by intensifying its partnership with Ukraine, particularly in light of the signed US-Ukraine minerals deal. The 2021 partnership agreement on raw materials remains a valuable foundation. Still, in its current shape, it requires targeted enhancement to reflect the current geopolitical challenges and to more effectively integrate Ukraine into the EU’s critical raw materials strategy. By taking affirmative actions through targeted investment, active pursuit of joint ventures and technical support for Ukraine’s minerals sector, the EU can secure vital minerals for its automotive, defence, and aerospace industries. Simultaneously, these actions can support Ukraine’s recovery and accelerate its European integration. At the same time, Ukraine’s position is also crucial considering the strategic implications of the signed US-Ukraine minerals deal. The Ukrainian government must thoroughly manage how its new bilateral commitments influence its sovereignty, control over critical minerals, and ability to ensure regulatory and investment alignment with the EU. The key question is whether the Ukrainian government can balance partnerships with the EU and the US while maintaining its commitment to EU integration and legal obligations. In this regard, the EU should be more proactive, especially considering the importance that Ukraine’s critical minerals can play in meeting some of the CRMA objectives and its broader industrial resilience. ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/the-future-of-nato-demise-reform-or-rebirth/,"The Future of NATO: Demise, Reform, or Rebirth?",12 June 2025,,"Pax Americana and the US-led global order as we have known it are vanishing. US President Trump has driven a wedge between US and European security, and is eroding NATO – to the delight of Vladimir Putin. However,si vis pacem, para bellum– this old adage is as true as ever. As the tectonic plates continue to shift beneath us, NATO needs to prepare for all eventualities. With the US becoming more transactional or even antagonistic, Europeans in NATO and the EU must change gear and focus on what is needed to become a serious geostrategic actor. The stakes could not be higher: If Europeans want to prevent the world form returning to an era where might makes right, they need to forge a shared vision of their future, including for defence and security. They need to find new leadership formulas, take a fresh look at institutional frameworks and laser-focus on building a broad range of capabilities. This policy paper outlines the strategic context, defines plausible scenarios, and then charts out key policy recommendations focusing on three main areas: leadership, enabling frameworks and structures, and key capabilities. Europeans in NATO and the EU can avoid a doomsday scenario where they would become the playball of strongmen in Washington, Moscow, or Peking. But that requires leadership, a firm belief in their strength, and determination to acquire the tools of an assertive geostrategic actor. ENJOYING THIS CONTENT? Download the publication",
https://www.martenscentre.eu/publication/finlands-nato-strategy/,Finland’s NATO Strategy,10 June 2025,,"Finland applied for NATO membership on May 17, 2022 – less than three months after Russia started its war of aggression against Ukraine. The NATO countries signed the accession protocol on membership on July 5, 2022, when Finland became an observer member. Finland became a full member of NATO on April 4, 2023. The process was controlled, but fast. The long-standing political way of talking about Finland’s NATO option became history when both the citizens and the political leadership turned in support of NATO membership in a few weeks in the spring of 2022. At that time, Ajatuspaja Toivo and Wilfried Centre for European Studies published the collection of writings “Finland’s NATO Spring 2022”, recording the views of researchers and other experts on what membership would mean for Finland, how the process is progressing and what kind of historical change in our security policy is involved. Our publication produced new information to support political decision-making, which is our main task. Now, two years later, we return to the NATO topic. What should Finland consider in its NATO strategy? What is essential from the point of view of Swedish or Nordic cooperation? How are the security policies of the EU and NATO interrelated, and what is happening in the Arctic region? Conscript service and, of course, Russia’s perspective are also discussed in this work. The publication is a cross-section of the security situation, it takes part in the discussion about Finland’s role in NATO and it gives an opportunity to review and comment on the foreign and security policy reports that will be published later. Thanks to all the expert authors and thanks to Elina Riutta for her cooperation in editing the book.",
https://www.martenscentre.eu/publication/gaining-insights-into-the-gender-gap-and-orientations-of-young-european-citizens-an-analysis-of-longitudinal-glocalities-survey-data-from-eight-european-countries/,Gaining Insights Into the Gender Gap and Orientations of Young European Citizens: An Analysis of Longitudinal Glocalities Survey Data From Eight European Countries,21 May 2025,,"This report examines the perceptions, aspirations, and challenges faced by young Europeans, focusing on the widening gender gap and shifting value orientations. Based on comprehensive longitudinal Glocalities survey data from eight European countries, it reveals a growing divergence in values between young men and women, with young women increasingly embracing liberal and anti-patriarchal ideals, while young men lean towards traditional and conservative ideologies. This divergence poses a significant challengeto the conventional view of a uniformly progressive youth demographic. The study highlights the critical dimensions of hope versus despair and freedom versus control, which illuminate generational and gender-specific differences in (political) behavior. It uncovers a troubling trend of pessimism and societal dissatisfaction among young men aged 18–29, leading to decreased engagement, increased polarization, and the rise of right-wing populist movements. Young women have also been experiencing increasing despair, even more so than men. Economic and educational disparities further exacerbate these feelings, as structural changes in the global economy disproportionately impact young citizens, limiting job opportunities in traditional sectors. Despite these challenges, there is the potential for centrist parties to reclaim leadership by addressing generational divides, fostering inclusive narratives, and promoting trust in liberal democratic systems. By involving young people in substantive roles and by addressing their concerns, it is possible to reinforce European values and navigate the complexities of the future, while at the same time 1 acknowledging the challenges and uncertainties that lie ahead. ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/evaluating-chinas-space-capabilities-and-ambitions/,Evaluating China’s Space Capabilities and Ambitions,08 May 2025,,"China’s space ambitions now outpace every other country – even the US. From the establishment of the People’s Republic of China in 1949, the Chinese Communist Party has always seen space as key to cementing China’s status as a global superpower. These ambitions have outlived the Cold War era space race, with China’s State Council publishing five high-level policy papers on space between 2000 and 2021. Yet China’s space ambitions are about far more than building international status. Space capabilities are seen by China’s leadership as critical to economic security and military superiority, particularly as it seeks to control the strategic technologies of the future. ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook",
https://www.martenscentre.eu/publication/battle-for-democracy-in-the-digital-age/,Battle for Democracy in the Digital Age,08 May 2025,,"To read this paper in Czech, clickhere. To access our Policy Director Peter Hefele’s contribution to this edited volume, titled “A Generation of Extremists? Values and Political Attitudes of European Youth”, clickhere. Democracy faces a range of threats today. The United States is gradually moving away from the liberal model towards authoritarianism, while Russia is actively seeking to weaken democratic institutions and strengthen its geopolitical influence. Russia’s strategy is aimed at systematically undermining transatlantic ties and marginalising US influence in Europe, which would allow it to strengthen its position and limit the influence of democratic forces. Democratic states in Europe have long underestimated, however, these risks and are often not prepared to respond adequately, leading to indecision and an inability to effectively counter new threats. Thus far, they have merely stood still. In addition to the traditional geopolitical risks, we also must address new challenges posed by the digital world. Social media platforms and other digital channels can be sources of democratisation of public space, but can also be used to spread disinformation and manipulate public opinion. Cyber- attacks, Internet silencing and online espionage are used by state and non-state bodies and require appropriate responses and strategies to defend democratic institutions. Against this backdrop, the nature of geopolitical competition between the European Union (EU) and Russia, in their shared neighbourhood, is changing. Both the EU and Russia seek to influence the political and economic direction of neighbouring states, but do so through fundamentally different approaches. The EU exerts the weight of its authority and calls for the promotion of democratisation, emphasising economic liberalisation, integration with European markets and the development of the rule of law in the process. In contrast, Russia relies on force and coercion, using increasing energy dependence, economic pressure and security threats to maintain influence.",
https://www.martenscentre.eu/publication/strengthening-the-lgbtiq-voice-as-part-of-the-centre-right-narrative/,Strengthening the LGBTIQ+ Voice As Part of the Centre-Right Narrative,05 May 2025,,"For too long, the discourse on the rights of the LGBTIQ+ communities and individuals has been neglected in the political narrative and campaigning of conservative and Christian-democratic parties in Europe – leaving this space to be occupied by left-wing and green parties. Consequently, voting for EPP-affiliated political parties remained low in several countries. However, there is no reason for the EPP family to stay in this weak position. The core values of the EPP and its member parties are built upon respect for each individual and the unwavering demand for individual freedom, inclusion, and openness. Our objective is to keep building a society where each and every citizen can live freely and safely as individuals, as a part of a family and of society, and be respected for who they are. We strongly believe that these basic values endorsed by the political family of EPP are the strongest guarantee to ensure the rights of the LGBTIQ+ communities across Europe: freedom, respect, and the right for individuals to be different; but also to see and recognise the multitude of individuality, of which sexual orientation and gender identity are as important as other characteristics. In acknowledging and emphasising this fact, we reject the notion that being LGBTIQ+ is just some form of ideology. ENJOYING THIS CONTENT? Download the publication",
https://www.martenscentre.eu/publication/the-future-of-transatlantic-relations/,The Future of Transatlantic Relations,15 April 2025,,ENJOYING THIS CONTENT? Download the publication See the publication in a flipbook,
